,,,,,,,,,
,,,,,,,,,
Row Labels,Count of color,,,,,,,,
alfa-romeo,657,,,,,,,,
aston-martin,109,,,,,,,,
audi,5424,,,,,,,,
bentley,223,,,,,,,,
bmw,3535,,,,,,,,
cadillac,62,,,,,,,,
chevrolet,44,,,,,,,,
chrysler,17,,,,,,,,
citroen,1913,,,,,,,,
dacia,1676,,,,,,,,
dodge,224,,,,,,,,
ferrari,139,,,,,,,,
fiat,2585,,,,,,,,
ford,6629,,,,,,,,
honda,328,,,,,,,,
hyundai,2819,,,,,,,,
infiniti,8,,,,,,,,
isuzu,124,,,,,,,,
jaguar,902,,,,,,,,
jeep,1120,,,,,,,,
kia,2950,,,,,,,,
lada,79,,,,,,,,
lamborghini,172,,,,,,,,
land-rover,1826,,,,,,,,
maserati,299,,,,,,,,
mazda,2316,,,,,,,,
mercedes-benz,5022,,,,,,,,
mini,1992,,,,,,,,
mitsubishi,544,,,,,,,,
nissan,1838,,,,,,,,
opel,6804,,,,,,,,
peugeot,2708,,,,,,,,
porsche,949,,,,,,,,
renault,3171,,,,,,,,
rover,1,,,,,,,,
seat,6995,,,,,,,,
skoda,7064,,,,,,,,
smart,210,,,,,,,,
ssangyong,194,,,,,,,,
toyota,5073,,,,,,,,
volkswagen,7739,,,,,,,,
volvo,2132,,,,,,,,
Grand Total,88616,,,,,,,,
