brand,model,color,registration_date,year,price_in_euro,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,mileage_in_km
alfa-romeo,Alfa Romeo Spider,black,Jul-96,1996,8990,192,Manual,Petrol,11.0,168600.0
alfa-romeo,Alfa Romeo Spider,blue,Oct-00,2000,21800,192,Manual,Petrol,11.0,100000.0
alfa-romeo,Alfa Romeo Spider,black,Apr-00,2000,4199,192,Manual,Petrol,11.0,168000.0
alfa-romeo,Alfa Romeo 156,red,Mar-01,2001,1300,192,Automatic,Petrol,12.0,187000.0
alfa-romeo,Alfa Romeo 156,black,May-01,2001,4900,192,Manual,Petrol,10.0,186000.0
alfa-romeo,Alfa Romeo 147,black,May-03,2003,2800,150,Manual,Petrol,8.0,191552.0
alfa-romeo,Alfa Romeo 156,black,Nov-04,2004,1950,116,Manual,Diesel,6.0,196000.0
alfa-romeo,Alfa Romeo 159,silver,Sep-05,2005,1500,150,Manual,Diesel,6.0,163843.0
alfa-romeo,Alfa Romeo 159,grey,May-06,2006,1950,150,Manual,Diesel,6.0,400000.0
alfa-romeo,Alfa Romeo 159,red,Apr-06,2006,3500,150,Manual,Diesel,6.0,248000.0
alfa-romeo,Alfa Romeo 159,black,Jun-06,2006,2250,150,Manual,Diesel,6.0,215000.0
alfa-romeo,Alfa Romeo 159,black,Jul-07,2007,3900,185,Manual,Petrol,8.0,188000.0
alfa-romeo,Alfa Romeo 159,silver,Jul-07,2007,3000,150,Manual,Diesel,6.0,197000.0
alfa-romeo,Alfa Romeo 159,grey,Oct-08,2008,3600,150,Manual,Diesel,6.0,142000.0
alfa-romeo,Alfa Romeo,black,Oct-08,2008,2450,150,Manual,Diesel,6.0,221868.0
alfa-romeo,Alfa Romeo 159,red,Jul-09,2009,6900,200,Manual,Petrol,8.0,134000.0
alfa-romeo,Alfa Romeo 159,black,Dec-09,2009,6949,200,Manual,Petrol,8.0,145000.0
alfa-romeo,Alfa Romeo 159,black,Sep-09,2009,6990,200,Manual,Petrol,8.0,123000.0
alfa-romeo,Alfa Romeo 159,black,Mar-09,2009,4490,150,Manual,Diesel,6.0,171200.0
alfa-romeo,Alfa Romeo 159,white,Nov-09,2009,10500,200,Manual,Petrol,8.0,142000.0
alfa-romeo,Alfa Romeo 159,silver,Oct-10,2010,6300,200,Manual,Petrol,8.0,222400.0
alfa-romeo,Alfa Romeo MiTo,black,Sep-11,2011,9000,170,Manual,Petrol,6.0,104450.0
alfa-romeo,Alfa Romeo 159,black,Jan-11,2011,9500,200,Manual,Petrol,8.0,163000.0
alfa-romeo,Alfa Romeo MiTo,bronze,May-12,2012,7500,170,Manual,Petrol,6.0,106000.0
alfa-romeo,Alfa Romeo Giulietta,grey,Oct-12,2012,8450,140,Manual,Diesel,4.0,147000.0
alfa-romeo,Alfa Romeo MiTo,red,Oct-12,2012,7800,170,Manual,Petrol,6.0,130744.0
alfa-romeo,Alfa Romeo MiTo,white,Mar-13,2013,7990,170,Manual,Petrol,6.0,147000.0
alfa-romeo,Alfa Romeo MiTo,white,Feb-13,2013,4000,95,Manual,Diesel,4.0,207429.0
alfa-romeo,Alfa Romeo MiTo,white,Aug-13,2013,12500,170,Manual,Petrol,6.0,59168.0
alfa-romeo,Alfa Romeo Giulietta,red,Sep-14,2014,19999,241,Automatic,Petrol,7.0,97500.0
alfa-romeo,Alfa Romeo Giulietta,grey,Apr-15,2015,15999,241,Automatic,Petrol,7.0,75000.0
alfa-romeo,Alfa Romeo Giulietta,grey,Dec-15,2015,16990,241,Automatic,Petrol,7.0,101390.0
alfa-romeo,Alfa Romeo Giulietta,grey,Jul-15,2015,11000,105,Manual,Diesel,4.0,110828.0
alfa-romeo,Alfa Romeo Giulietta,black,Jul-16,2016,19799,241,Automatic,Petrol,7.0,109000.0
alfa-romeo,Alfa Romeo Giulietta,black,Jun-16,2016,19900,241,Automatic,Petrol,7.0,92950.0
alfa-romeo,Alfa Romeo Stelvio,blue,Aug-17,2017,36950,280,Automatic,Petrol,7.0,79950.0
alfa-romeo,Alfa Romeo Stelvio,blue,Aug-17,2017,36980,280,Automatic,Petrol,7.0,79990.0
alfa-romeo,Alfa Romeo Stelvio,grey,Mar-17,2017,26690,280,Automatic,Petrol,7.0,100300.0
alfa-romeo,Alfa Romeo Stelvio,grey,May-17,2017,28880,280,Automatic,Petrol,7.0,60000.0
alfa-romeo,Alfa Romeo Stelvio,grey,Jun-17,2017,29490,280,Automatic,Petrol,7.0,75600.0
alfa-romeo,Alfa Romeo Stelvio,grey,Jul-17,2017,34500,280,Automatic,Petrol,7.0,52000.0
alfa-romeo,Alfa Romeo Stelvio,grey,Aug-17,2017,30999,280,Automatic,Petrol,7.0,95000.0
alfa-romeo,Alfa Romeo Stelvio,grey,Sep-17,2017,26900,200,Automatic,Petrol,7.0,80000.0
alfa-romeo,Alfa Romeo Giulia,grey,Feb-17,2017,24000,200,Automatic,Petrol,6.0,77000.0
alfa-romeo,Alfa Romeo Stelvio,red,Apr-17,2017,33980,280,Automatic,Petrol,7.0,30648.0
alfa-romeo,Alfa Romeo Stelvio,red,Mar-17,2017,27890,280,Automatic,Petrol,7.0,92900.0
alfa-romeo,Alfa Romeo Stelvio,red,Apr-17,2017,29480,280,Automatic,Petrol,7.0,72650.0
alfa-romeo,Alfa Romeo Stelvio,red,Aug-17,2017,33900,280,Automatic,Petrol,7.0,39463.0
alfa-romeo,Alfa Romeo Stelvio,red,Mar-17,2017,29800,280,Automatic,Petrol,7.0,47702.0
