,Unnamed: 0,Make,Model,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,Sum
0,0,Acura,MDX,Asia,All,36945.0,33337.0,3.5,6.0,265.0,17.0,23.0,4451.0,106.0,189.0,60057.0
1,1,Acura,RSX,Asia,Front,23820.0,21761.0,2.0,4.0,200.0,24.0,31.0,2778.0,101.0,172.0,55609.27386934673
2,2,Acura,TSX,Asia,Front,26990.0,24647.0,2.4,4.0,200.0,22.0,29.0,3230.0,105.0,183.0,55609.27386934673
3,3,Acura,TL,Asia,Front,33195.0,30299.0,3.2,6.0,270.0,20.0,28.0,3575.0,108.0,186.0,26100.0
4,4,Acura,RLX,Asia,Front,43755.0,39014.0,3.5,6.0,225.0,18.0,24.0,3880.0,115.0,197.0,214.0
5,5,Acura,RDX,Asia,Front,46100.0,41100.0,3.5,6.0,225.0,18.0,24.0,3893.0,115.0,197.0,57013.0
6,6,Acura,NSX,Asia,Rear,89765.0,79978.0,3.2,6.0,290.0,17.0,24.0,3153.0,100.0,174.0,124.0
7,440,Acura,ILX,,,32462.695454545454,29732.477272727272,,,,,,,,,13900.0
8,7,Audi,A4,Europe,Front,25940.0,23508.0,1.8,4.0,170.0,22.0,31.0,3252.0,104.0,179.0,16263.0
9,8,Audi,A4,Europe,Front,31840.0,28846.0,3.0,6.0,220.0,20.0,28.0,3462.0,104.0,179.0,16263.0
10,9,Audi,A4,Europe,All,33430.0,30366.0,3.0,6.0,220.0,17.0,26.0,3583.0,104.0,179.0,16263.0
11,10,Audi,A4,Europe,All,34480.0,31388.0,3.0,6.0,220.0,18.0,25.0,3627.0,104.0,179.0,16263.0
12,11,Audi,A4,Europe,Front,42490.0,38325.0,3.0,6.0,220.0,20.0,27.0,3814.0,105.0,180.0,16263.0
13,12,Audi,A4,Europe,All,44240.0,40075.0,3.0,6.0,220.0,18.0,25.0,4013.0,105.0,180.0,16263.0
14,13,Audi,A41.8T,Europe,Front,35940.0,32506.0,1.8,4.0,170.0,23.0,30.0,3638.0,105.0,180.0,55609.27386934673
15,14,Audi,A6,Europe,Front,36640.0,33129.0,3.0,6.0,220.0,20.0,27.0,3561.0,109.0,192.0,9543.0
16,15,Audi,A6,Europe,All,39640.0,35992.0,3.0,6.0,220.0,18.0,25.0,3880.0,109.0,192.0,9543.0
17,16,Audi,A6,Europe,All,42840.0,38840.0,2.7,6.0,250.0,18.0,25.0,3836.0,109.0,192.0,9543.0
18,17,Audi,A6,Europe,All,49690.0,44936.0,4.2,8.0,300.0,17.0,24.0,4024.0,109.0,193.0,9543.0
19,18,Audi,A6,Europe,All,40840.0,37060.0,3.0,6.0,220.0,18.0,25.0,4035.0,109.0,192.0,9543.0
20,19,Audi,A8,Europe,All,69190.0,64740.0,4.2,8.0,330.0,17.0,24.0,4399.0,121.0,204.0,2068.0
21,20,Audi,S4,Europe,All,48040.0,43556.0,4.2,8.0,340.0,14.0,20.0,3825.0,104.0,179.0,55609.27386934673
22,21,Audi,S4,Europe,All,49090.0,44446.0,4.2,8.0,340.0,15.0,21.0,3936.0,104.0,179.0,55609.27386934673
23,22,Audi,RS,Europe,Front,84600.0,76417.0,4.2,8.0,450.0,15.0,22.0,4024.0,109.0,191.0,55609.27386934673
24,23,Audi,TT,Europe,Front,35940.0,32512.0,1.8,4.0,180.0,20.0,28.0,3131.0,95.0,159.0,987.0
25,24,Audi,TT,Europe,All,37390.0,33891.0,1.8,4.0,225.0,20.0,28.0,2921.0,96.0,159.0,987.0
26,25,Audi,TT,Europe,All,40590.0,36739.0,3.2,6.0,250.0,21.0,29.0,3351.0,96.0,159.0,987.0
27,447,Audi,A3,,,32462.695454545454,29732.477272727272,,,,,,,,,2387.0
28,448,Audi,A5,,,32462.695454545454,29732.477272727272,,,,,,,,,17128.0
29,449,Audi,A7,,,32462.695454545454,29732.477272727272,,,,,,,,,3080.0
30,450,Audi,e-Tron,,,32462.695454545454,29732.477272727272,,,,,,,,,1227.0
31,451,Audi,e-Tron,,,32462.695454545454,29732.477272727272,,,,,,,,,505.0
32,452,Audi,eTron,,,32462.695454545454,29732.477272727272,,,,,,,,,8278.0
33,453,Audi,Q3,,,32462.695454545454,29732.477272727272,,,,,,,,,34464.0
34,454,Audi,Q4,,,32462.695454545454,29732.477272727272,,,,,,,,,45.0
35,455,Audi,Q4,,,32462.695454545454,29732.477272727272,,,,,,,,,18.0
36,456,Audi,Q5,,,32462.695454545454,29732.477272727272,,,,,,,,,60299.0
37,457,Audi,Q7,,,32462.695454545454,29732.477272727272,,,,,,,,,25363.0
38,458,Audi,Q8,,,32462.695454545454,29732.477272727272,,,,,,,,,12539.0
39,459,Audi,R8,,,32462.695454545454,29732.477272727272,,,,,,,,,648.0
40,26,BMW,X3,Europe,All,37000.0,33873.0,3.0,6.0,225.0,16.0,23.0,4023.0,110.0,180.0,75858.0
41,27,BMW,X5,Europe,All,52195.0,47720.0,4.4,8.0,325.0,16.0,22.0,4824.0,111.0,184.0,60724.0
42,28,BMW,325i,Europe,Rear,28495.0,26155.0,2.5,6.0,184.0,20.0,29.0,3219.0,107.0,176.0,5495.0
43,29,BMW,325Ci,Europe,Rear,30795.0,28245.0,2.5,6.0,184.0,20.0,29.0,3197.0,107.0,177.0,5495.0
44,30,BMW,325Ci,Europe,Rear,37995.0,34800.0,2.5,6.0,184.0,19.0,27.0,3560.0,107.0,177.0,5495.0
45,31,BMW,325xi,Europe,All,30245.0,27745.0,2.5,6.0,184.0,19.0,27.0,3461.0,107.0,176.0,5495.0
46,32,BMW,325xi,Europe,All,32845.0,30110.0,2.5,6.0,184.0,19.0,26.0,3594.0,107.0,176.0,5495.0
47,33,BMW,330i,Europe,Rear,35495.0,32525.0,3.0,6.0,225.0,20.0,30.0,3285.0,107.0,176.0,5495.0
48,34,BMW,330Ci,Europe,Rear,36995.0,33890.0,3.0,6.0,225.0,20.0,30.0,3285.0,107.0,176.0,5495.0
49,35,BMW,330Ci,Europe,Rear,44295.0,40530.0,3.0,6.0,225.0,19.0,28.0,3616.0,107.0,177.0,5495.0
50,36,BMW,330xi,Europe,All,37245.0,34115.0,3.0,6.0,225.0,20.0,29.0,3483.0,107.0,176.0,5495.0
51,37,BMW,525i,Europe,Rear,39995.0,36620.0,2.5,6.0,184.0,19.0,28.0,3428.0,114.0,191.0,8174.0
52,38,BMW,530i,Europe,Rear,44995.0,41170.0,3.0,6.0,225.0,20.0,30.0,3472.0,114.0,191.0,8174.0
53,39,BMW,545iA,Europe,Rear,54995.0,50270.0,4.4,8.0,325.0,18.0,26.0,3814.0,114.0,191.0,8174.0
54,40,BMW,745i,Europe,Rear,69195.0,63190.0,4.4,8.0,325.0,18.0,26.0,4376.0,118.0,198.0,55609.27386934673
55,41,BMW,745Li,Europe,Rear,73195.0,66830.0,4.4,8.0,325.0,18.0,26.0,4464.0,123.0,204.0,55609.27386934673
56,42,BMW,M3,Europe,Rear,48195.0,44170.0,3.2,6.0,333.0,16.0,24.0,3415.0,108.0,177.0,55609.27386934673
57,43,BMW,M3,Europe,Rear,56595.0,51815.0,3.2,6.0,333.0,16.0,23.0,3781.0,108.0,177.0,55609.27386934673
58,44,BMW,Z4,Europe,Rear,33895.0,31065.0,2.5,6.0,184.0,20.0,28.0,2932.0,98.0,161.0,2412.0
59,45,BMW,Z4,Europe,Rear,41045.0,37575.0,3.0,6.0,225.0,21.0,29.0,2998.0,98.0,161.0,2412.0
60,460,BMW,2-Series,,,32462.695454545454,29732.477272727272,,,,,,,,,15684.0
61,462,BMW,4-Series,,,32462.695454545454,29732.477272727272,,,,,,,,,22938.0
62,464,BMW,6-Series,,,32462.695454545454,29732.477272727272,,,,,,,,,56.0
63,465,BMW,7-Series,,,32462.695454545454,29732.477272727272,,,,,,,,,7705.0
64,466,BMW,8-Series,,,32462.695454545454,29732.477272727272,,,,,,,,,7763.0
65,467,BMW,i3,,,32462.695454545454,29732.477272727272,,,,,,,,,1476.0
66,468,BMW,i8,,,32462.695454545454,29732.477272727272,,,,,,,,,21.0
67,469,BMW,X1,,,32462.695454545454,29732.477272727272,,,,,,,,,18255.0
68,470,BMW,X2,,,32462.695454545454,29732.477272727272,,,,,,,,,6563.0
69,471,BMW,X4,,,32462.695454545454,29732.477272727272,,,,,,,,,10622.0
70,472,BMW,X6,,,32462.695454545454,29732.477272727272,,,,,,,,,9590.0
71,473,BMW,X7,,,32462.695454545454,29732.477272727272,,,,,,,,,23046.0
72,46,Buick,Rainier,USA,All,37895.0,34357.0,4.2,6.0,275.0,15.0,21.0,4600.0,113.0,193.0,55609.27386934673
73,47,Buick,Rendezvous,USA,Front,26545.0,24085.0,3.4,6.0,185.0,19.0,26.0,4024.0,112.0,187.0,55609.27386934673
74,48,Buick,Century,USA,Front,22180.0,20351.0,3.1,6.0,175.0,20.0,30.0,3353.0,109.0,195.0,55609.27386934673
75,49,Buick,LeSabre,USA,Front,26470.0,24282.0,3.8,6.0,205.0,20.0,29.0,3567.0,112.0,200.0,55609.27386934673
76,50,Buick,LeSabre,USA,Front,32245.0,29566.0,3.8,6.0,205.0,20.0,29.0,3591.0,112.0,200.0,55609.27386934673
77,51,Buick,Regal,USA,Front,24895.0,22835.0,3.8,6.0,200.0,20.0,30.0,3461.0,109.0,196.0,19.0
78,52,Buick,Regal,USA,Front,28345.0,26047.0,3.8,6.0,240.0,18.0,28.0,3536.0,109.0,196.0,19.0
79,53,Buick,Park,USA,Front,35545.0,32244.0,3.8,6.0,205.0,20.0,29.0,3778.0,114.0,207.0,55609.27386934673
80,54,Buick,Park,USA,Front,40720.0,36927.0,3.8,6.0,240.0,18.0,28.0,3909.0,114.0,207.0,55609.27386934673
81,474,Buick,Enclave,,,32462.695454545454,29732.477272727272,,,,,,,,,42340.0
82,475,Buick,Encore,,,32462.695454545454,29732.477272727272,,,,,,,,,20438.0
83,476,Buick,Encore,,,32462.695454545454,29732.477272727272,,,,,,,,,72401.0
84,477,Buick,Envision,,,32462.695454545454,29732.477272727272,,,,,,,,,47173.0
85,478,Buick,LaCrosse,,,32462.695454545454,29732.477272727272,,,,,,,,,9.0
86,55,Cadillac,Escalade,USA,Front,52795.0,48377.0,5.3,8.0,295.0,14.0,18.0,5367.0,116.0,199.0,40504.0
87,56,Cadillac,Escalade,USA,All,52975.0,48541.0,6.0,8.0,345.0,13.0,17.0,5879.0,130.0,221.0,40504.0
88,57,Cadillac,SRX,USA,Front,46995.0,43523.0,4.6,8.0,320.0,16.0,21.0,4302.0,116.0,195.0,55609.27386934673
89,58,Cadillac,CTS,USA,Rear,30835.0,28575.0,3.6,6.0,255.0,18.0,25.0,3694.0,113.0,190.0,68.0
90,59,Cadillac,Deville,USA,Front,45445.0,41650.0,4.6,8.0,275.0,18.0,26.0,3984.0,115.0,207.0,55609.27386934673
91,60,Cadillac,Deville,USA,Front,50595.0,46362.0,4.6,8.0,300.0,18.0,26.0,4044.0,115.0,207.0,55609.27386934673
