,Make_x,Model,Body Type,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total Sales,Unnamed: 0.1,Unnamed: 0,Make_y,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,Sum
0,Acura,ILX,Sedan,62,65,124,116,93,73,70,68,58,59,39,43,870,7.0,440.0,Acura,,,32462.695454545454,29732.477272727272,,,,,,,,,13900.0
1,Acura,MDX,SUV,93,389,782,611,550,501,347,516,309,406,303,275,5082,0.0,0.0,Acura,Asia,All,36945.0,33337.0,3.5,6.0,265.0,17.0,23.0,4451.0,106.0,189.0,60057.0
2,Acura,NSX,2 Door Coupe,0,2,3,5,5,1,1,2,3,0,1,0,23,6.0,6.0,Acura,Asia,Rear,89765.0,79978.0,3.2,6.0,290.0,17.0,24.0,3153.0,100.0,174.0,124.0
3,Acura,RDX,SUV,443,466,650,552,607,738,747,720,788,854,661,750,7976,5.0,5.0,Acura,Asia,Front,46100.0,41100.0,3.5,6.0,225.0,18.0,24.0,3893.0,115.0,197.0,57013.0
4,Acura,RLX,Sedan,0,0,1,0,0,0,0,0,1,0,0,0,2,4.0,4.0,Acura,Asia,Front,43755.0,39014.0,3.5,6.0,225.0,18.0,24.0,3880.0,115.0,197.0,214.0
5,Acura,TLX,Sedan,111,112,309,0,1,0,391,249,225,143,155,85,1781,,,,,,,,,,,,,,,,
6,Alfa Romeo,4C,2 Door Coupe,1,1,1,3,3,3,0,0,0,0,0,0,12,,,,,,,,,,,,,,,,
7,Alfa Romeo,Giulia,Sedan,12,12,14,26,25,26,15,14,15,14,14,14,201,,,,,,,,,,,,,,,,
8,Alfa Romeo,Stelvio,SUV,42,42,48,59,57,59,68,65,68,67,67,67,709,,,,,,,,,,,,,,,,
9,Audi,A3,Sedan,40,40,45,2,2,2,0,0,0,98,98,98,425,27.0,447.0,Audi,,,32462.695454545454,29732.477272727272,,,,,,,,,2387.0
10,Audi,A4,Sedan,113,113,127,224,216,224,117,113,117,46,46,46,1502,8.0,7.0,Audi,Europe,Front,25940.0,23508.0,1.8,4.0,170.0,22.0,31.0,3252.0,104.0,179.0,16263.0
11,Audi,A4,Sedan,113,113,127,224,216,224,117,113,117,46,46,46,1502,9.0,8.0,Audi,Europe,Front,31840.0,28846.0,3.0,6.0,220.0,20.0,28.0,3462.0,104.0,179.0,16263.0
12,Audi,A4,Sedan,113,113,127,224,216,224,117,113,117,46,46,46,1502,10.0,9.0,Audi,Europe,All,33430.0,30366.0,3.0,6.0,220.0,17.0,26.0,3583.0,104.0,179.0,16263.0
13,Audi,A4,Sedan,113,113,127,224,216,224,117,113,117,46,46,46,1502,11.0,10.0,Audi,Europe,All,34480.0,31388.0,3.0,6.0,220.0,18.0,25.0,3627.0,104.0,179.0,16263.0
