,Make,Model,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,Sum
0,Acura,MDX,Asia,All,"$36,945.00","$33,337.00",3.5,6.0,265.0,17.0,23.0,4451.0,106.0,189.0,60057.0
1,Acura,RSX,Asia,Front,"$23,820.00","$21,761.00",2.0,4.0,200.0,24.0,31.0,2778.0,101.0,172.0,
2,Acura,TSX,Asia,Front,"$26,990.00","$24,647.00",2.4,4.0,200.0,22.0,29.0,3230.0,105.0,183.0,
3,Acura,TL,Asia,Front,"$33,195.00","$30,299.00",3.2,6.0,270.0,20.0,28.0,3575.0,108.0,186.0,
4,Acura,3.5,Asia,Front,"$43,755.00","$39,014.00",3.5,6.0,225.0,18.0,24.0,3880.0,115.0,197.0,
5,Acura,3.5,Asia,Front,"$46,100.00","$41,100.00",3.5,6.0,225.0,18.0,24.0,3893.0,115.0,197.0,
6,Acura,NSX,Asia,Rear,"$89,765.00","$79,978.00",3.2,6.0,290.0,17.0,24.0,3153.0,100.0,174.0,124.0
7,Audi,A4,Europe,Front,"$25,940.00","$23,508.00",1.8,4.0,170.0,22.0,31.0,3252.0,104.0,179.0,16263.0
8,Audi,A4,Europe,Front,"$31,840.00","$28,846.00",3.0,6.0,220.0,20.0,28.0,3462.0,104.0,179.0,16263.0
9,Audi,A4,Europe,All,"$33,430.00","$30,366.00",3.0,6.0,220.0,17.0,26.0,3583.0,104.0,179.0,16263.0
10,Audi,A4,Europe,All,"$34,480.00","$31,388.00",3.0,6.0,220.0,18.0,25.0,3627.0,104.0,179.0,16263.0
11,Audi,A4,Europe,Front,"$42,490.00","$38,325.00",3.0,6.0,220.0,20.0,27.0,3814.0,105.0,180.0,16263.0
12,Audi,A4,Europe,All,"$44,240.00","$40,075.00",3.0,6.0,220.0,18.0,25.0,4013.0,105.0,180.0,16263.0
13,Audi,A41.8T,Europe,Front,"$35,940.00","$32,506.00",1.8,4.0,170.0,23.0,30.0,3638.0,105.0,180.0,
14,Audi,A6,Europe,Front,"$36,640.00","$33,129.00",3.0,6.0,220.0,20.0,27.0,3561.0,109.0,192.0,9543.0
15,Audi,A6,Europe,All,"$39,640.00","$35,992.00",3.0,6.0,220.0,18.0,25.0,3880.0,109.0,192.0,9543.0
16,Audi,A6,Europe,All,"$42,840.00","$38,840.00",2.7,6.0,250.0,18.0,25.0,3836.0,109.0,192.0,9543.0
17,Audi,A6,Europe,All,"$49,690.00","$44,936.00",4.2,8.0,300.0,17.0,24.0,4024.0,109.0,193.0,9543.0
18,Audi,A6,Europe,All,"$40,840.00","$37,060.00",3.0,6.0,220.0,18.0,25.0,4035.0,109.0,192.0,9543.0
19,Audi,A8,Europe,All,"$69,190.00","$64,740.00",4.2,8.0,330.0,17.0,24.0,4399.0,121.0,204.0,2068.0
20,Audi,S4,Europe,All,"$48,040.00","$43,556.00",4.2,8.0,340.0,14.0,20.0,3825.0,104.0,179.0,
21,Audi,S4,Europe,All,"$49,090.00","$44,446.00",4.2,8.0,340.0,15.0,21.0,3936.0,104.0,179.0,
22,Audi,RS,Europe,Front,"$84,600.00","$76,417.00",4.2,8.0,450.0,15.0,22.0,4024.0,109.0,191.0,
23,Audi,TT,Europe,Front,"$35,940.00","$32,512.00",1.8,4.0,180.0,20.0,28.0,3131.0,95.0,159.0,987.0
24,Audi,TT,Europe,All,"$37,390.00","$33,891.00",1.8,4.0,225.0,20.0,28.0,2921.0,96.0,159.0,987.0
25,Audi,TT,Europe,All,"$40,590.00","$36,739.00",3.2,6.0,250.0,21.0,29.0,3351.0,96.0,159.0,987.0
26,BMW,X3,Europe,All,"$37,000.00","$33,873.00",3.0,6.0,225.0,16.0,23.0,4023.0,110.0,180.0,75858.0
27,BMW,X5,Europe,All,"$52,195.00","$47,720.00",4.4,8.0,325.0,16.0,22.0,4824.0,111.0,184.0,60724.0
28,BMW,325i,Europe,Rear,"$28,495.00","$26,155.00",2.5,6.0,184.0,20.0,29.0,3219.0,107.0,176.0,
29,BMW,325Ci,Europe,Rear,"$30,795.00","$28,245.00",2.5,6.0,184.0,20.0,29.0,3197.0,107.0,177.0,
30,BMW,325Ci,Europe,Rear,"$37,995.00","$34,800.00",2.5,6.0,184.0,19.0,27.0,3560.0,107.0,177.0,
31,BMW,325xi,Europe,All,"$30,245.00","$27,745.00",2.5,6.0,184.0,19.0,27.0,3461.0,107.0,176.0,
32,BMW,325xi,Europe,All,"$32,845.00","$30,110.00",2.5,6.0,184.0,19.0,26.0,3594.0,107.0,176.0,
33,BMW,330i,Europe,Rear,"$35,495.00","$32,525.00",3.0,6.0,225.0,20.0,30.0,3285.0,107.0,176.0,
34,BMW,330Ci,Europe,Rear,"$36,995.00","$33,890.00",3.0,6.0,225.0,20.0,30.0,3285.0,107.0,176.0,
35,BMW,330Ci,Europe,Rear,"$44,295.00","$40,530.00",3.0,6.0,225.0,19.0,28.0,3616.0,107.0,177.0,
36,BMW,330xi,Europe,All,"$37,245.00","$34,115.00",3.0,6.0,225.0,20.0,29.0,3483.0,107.0,176.0,
37,BMW,525i,Europe,Rear,"$39,995.00","$36,620.00",2.5,6.0,184.0,19.0,28.0,3428.0,114.0,191.0,
38,BMW,530i,Europe,Rear,"$44,995.00","$41,170.00",3.0,6.0,225.0,20.0,30.0,3472.0,114.0,191.0,
39,BMW,545iA,Europe,Rear,"$54,995.00","$50,270.00",4.4,8.0,325.0,18.0,26.0,3814.0,114.0,191.0,
40,BMW,745i,Europe,Rear,"$69,195.00","$63,190.00",4.4,8.0,325.0,18.0,26.0,4376.0,118.0,198.0,
41,BMW,745Li,Europe,Rear,"$73,195.00","$66,830.00",4.4,8.0,325.0,18.0,26.0,4464.0,123.0,204.0,
42,BMW,M3,Europe,Rear,"$48,195.00","$44,170.00",3.2,6.0,333.0,16.0,24.0,3415.0,108.0,177.0,
