,Make,Model,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,Sum
0,Acura,MDX,Asia,All,36945.00,33337.00,3.5,6,265,17,23,4451,106,189,60057
1,Acura,RSX,Asia,Front,23820.00,21761.00,2,4,200,24,31,2778,101,172,
2,Acura,TSX,Asia,Front,26990.00,24647.00,2.4,4,200,22,29,3230,105,183,
3,Acura,TL,Asia,Front,33195.00,30299.00,3.2,6,270,20,28,3575,108,186,26100
4,Acura,RLX,Asia,Front,43755.00,39014.00,3.5,6,225,18,24,3880,115,197,214
5,Acura,RDX,Asia,Front,46100.00,41100.00,3.5,6,225,18,24,3893,115,197,57013
6,Acura,NSX,Asia,Rear,89765.00,79978.00,3.2,6,290,17,24,3153,100,174,124
440,Acura,ILX,,,,,,,,,,,,,13900
7,Audi,A4,Europe,Front,25940.00,23508.00,1.8,4,170,22,31,3252,104,179,16263
8,Audi,A4,Europe,Front,31840.00,28846.00,3,6,220,20,28,3462,104,179,16263
9,Audi,A4,Europe,All,33430.00,30366.00,3,6,220,17,26,3583,104,179,16263
10,Audi,A4,Europe,All,34480.00,31388.00,3,6,220,18,25,3627,104,179,16263
11,Audi,A4,Europe,Front,42490.00,38325.00,3,6,220,20,27,3814,105,180,16263
12,Audi,A4,Europe,All,44240.00,40075.00,3,6,220,18,25,4013,105,180,16263
13,Audi,A41.8T,Europe,Front,35940.00,32506.00,1.8,4,170,23,30,3638,105,180,
14,Audi,A6,Europe,Front,36640.00,33129.00,3,6,220,20,27,3561,109,192,9543
15,Audi,A6,Europe,All,39640.00,35992.00,3,6,220,18,25,3880,109,192,9543
16,Audi,A6,Europe,All,42840.00,38840.00,2.7,6,250,18,25,3836,109,192,9543
17,Audi,A6,Europe,All,49690.00,44936.00,4.2,8,300,17,24,4024,109,193,9543
18,Audi,A6,Europe,All,40840.00,37060.00,3,6,220,18,25,4035,109,192,9543
19,Audi,A8,Europe,All,69190.00,64740.00,4.2,8,330,17,24,4399,121,204,2068
20,Audi,S4,Europe,All,48040.00,43556.00,4.2,8,340,14,20,3825,104,179,
21,Audi,S4,Europe,All,49090.00,44446.00,4.2,8,340,15,21,3936,104,179,
22,Audi,RS,Europe,Front,84600.00,76417.00,4.2,8,450,15,22,4024,109,191,
23,Audi,TT,Europe,Front,35940.00,32512.00,1.8,4,180,20,28,3131,95,159,987
24,Audi,TT,Europe,All,37390.00,33891.00,1.8,4,225,20,28,2921,96,159,987
25,Audi,TT,Europe,All,40590.00,36739.00,3.2,6,250,21,29,3351,96,159,987
447,Audi,A3,,,,,,,,,,,,,2387
448,Audi,A5,,,,,,,,,,,,,17128
449,Audi,A7,,,,,,,,,,,,,3080
450,Audi,e-Tron,,,,,,,,,,,,,1227
451,Audi,e-Tron,,,,,,,,,,,,,505
452,Audi,eTron,,,,,,,,,,,,,8278
453,Audi,Q3,,,,,,,,,,,,,34464
454,Audi,Q4,,,,,,,,,,,,,45
455,Audi,Q4,,,,,,,,,,,,,18
456,Audi,Q5,,,,,,,,,,,,,60299
457,Audi,Q7,,,,,,,,,,,,,25363
458,Audi,Q8,,,,,,,,,,,,,12539
459,Audi,R8,,,,,,,,,,,,,648
26,BMW,X3,Europe,All,37000.00,33873.00,3,6,225,16,23,4023,110,180,75858
27,BMW,X5,Europe,All,52195.00,47720.00,4.4,8,325,16,22,4824,111,184,60724
28,BMW,325i,Europe,Rear,28495.00,26155.00,2.5,6,184,20,29,3219,107,176,5495
29,BMW,325Ci,Europe,Rear,30795.00,28245.00,2.5,6,184,20,29,3197,107,177,5495
30,BMW,325Ci,Europe,Rear,37995.00,34800.00,2.5,6,184,19,27,3560,107,177,5495
31,BMW,325xi,Europe,All,30245.00,27745.00,2.5,6,184,19,27,3461,107,176,5495
32,BMW,325xi,Europe,All,32845.00,30110.00,2.5,6,184,19,26,3594,107,176,5495
33,BMW,330i,Europe,Rear,35495.00,32525.00,3,6,225,20,30,3285,107,176,5495
34,BMW,330Ci,Europe,Rear,36995.00,33890.00,3,6,225,20,30,3285,107,176,5495
35,BMW,330Ci,Europe,Rear,44295.00,40530.00,3,6,225,19,28,3616,107,177,5495
36,BMW,330xi,Europe,All,37245.00,34115.00,3,6,225,20,29,3483,107,176,5495
37,BMW,525i,Europe,Rear,39995.00,36620.00,2.5,6,184,19,28,3428,114,191,8174
38,BMW,530i,Europe,Rear,44995.00,41170.00,3,6,225,20,30,3472,114,191,8174
39,BMW,545iA,Europe,Rear,54995.00,50270.00,4.4,8,325,18,26,3814,114,191,8174
40,BMW,745i,Europe,Rear,69195.00,63190.00,4.4,8,325,18,26,4376,118,198,
41,BMW,745Li,Europe,Rear,73195.00,66830.00,4.4,8,325,18,26,4464,123,204,
42,BMW,M3,Europe,Rear,48195.00,44170.00,3.2,6,333,16,24,3415,108,177,
43,BMW,M3,Europe,Rear,56595.00,51815.00,3.2,6,333,16,23,3781,108,177,
44,BMW,Z4,Europe,Rear,33895.00,31065.00,2.5,6,184,20,28,2932,98,161,2412
45,BMW,Z4,Europe,Rear,41045.00,37575.00,3,6,225,21,29,2998,98,161,2412
460,BMW,2-Series,,,,,,,,,,,,,15684
462,BMW,4-Series,,,,,,,,,,,,,22938
464,BMW,6-Series,,,,,,,,,,,,,56
465,BMW,7-Series,,,,,,,,,,,,,7705
466,BMW,8-Series,,,,,,,,,,,,,7763
467,BMW,i3,,,,,,,,,,,,,1476
468,BMW,i8,,,,,,,,,,,,,21
469,BMW,X1,,,,,,,,,,,,,18255
470,BMW,X2,,,,,,,,,,,,,6563
471,BMW,X4,,,,,,,,,,,,,10622
472,BMW,X6,,,,,,,,,,,,,9590
473,BMW,X7,,,,,,,,,,,,,23046
46,Buick,Rainier,USA,All,37895.00,34357.00,4.2,6,275,15,21,4600,113,193,
47,Buick,Rendezvous,USA,Front,26545.00,24085.00,3.4,6,185,19,26,4024,112,187,
48,Buick,Century,USA,Front,22180.00,20351.00,3.1,6,175,20,30,3353,109,195,
49,Buick,LeSabre,USA,Front,26470.00,24282.00,3.8,6,205,20,29,3567,112,200,
50,Buick,LeSabre,USA,Front,32245.00,29566.00,3.8,6,205,20,29,3591,112,200,
51,Buick,Regal,USA,Front,24895.00,22835.00,3.8,6,200,20,30,3461,109,196,19
52,Buick,Regal,USA,Front,28345.00,26047.00,3.8,6,240,18,28,3536,109,196,19
53,Buick,Park,USA,Front,35545.00,32244.00,3.8,6,205,20,29,3778,114,207,
54,Buick,Park,USA,Front,40720.00,36927.00,3.8,6,240,18,28,3909,114,207,
474,Buick,Enclave,,,,,,,,,,,,,42340
475,Buick,Encore,,,,,,,,,,,,,20438
476,Buick,Encore,,,,,,,,,,,,,72401
477,Buick,Envision,,,,,,,,,,,,,47173
478,Buick,LaCrosse,,,,,,,,,,,,,9
55,Cadillac,Escalade,USA,Front,52795.00,48377.00,5.3,8,295,14,18,5367,116,199,40504
56,Cadillac,Escalade,USA,All,52975.00,48541.00,6,8,345,13,17,5879,130,221,40504
57,Cadillac,SRX,USA,Front,46995.00,43523.00,4.6,8,320,16,21,4302,116,195,
58,Cadillac,CTS,USA,Rear,30835.00,28575.00,3.6,6,255,18,25,3694,113,190,68
59,Cadillac,Deville,USA,Front,45445.00,41650.00,4.6,8,275,18,26,3984,115,207,
60,Cadillac,Deville,USA,Front,50595.00,46362.00,4.6,8,300,18,26,4044,115,207,
61,Cadillac,Seville,USA,Front,47955.00,43841.00,4.6,8,275,18,26,3992,112,201,
62,Cadillac,XLR,USA,Rear,76200.00,70546.00,4.6,8,320,17,25,3647,106,178,
479,Cadillac,CT4,,,,,,,,,,,,,7254
480,Cadillac,CT5,,,,,,,,,,,,,9448
481,Cadillac,CT6,,,,,,,,,,,,,103
482,Cadillac,XT4,,,,,,,,,,,,,11576
483,Cadillac,XT5,,,,,,,,,,,,,28378
484,Cadillac,XT6,,,,,,,,,,,,,20663
63,Chevrolet,Suburban,USA,Front,42735.00,37422.00,5.3,8,295,14,18,4947,130,219,85159
64,Chevrolet,Tahoe,USA,All,41465.00,36287.00,5.3,8,295,14,18,5050,116,197,106019
65,Chevrolet,TrailBlazer,USA,Front,30295.00,27479.00,4.2,6,275,16,21,4425,113,192,90163
66,Chevrolet,Tracker,USA,Front,20255.00,19108.00,2.5,6,165,19,22,2866,98,163,
67,Chevrolet,Aveo,USA,Front,11690.00,10965.00,1.6,4,103,28,34,2370,98,167,
68,Chevrolet,Aveo,USA,Front,12585.00,11802.00,1.6,4,103,28,34,2348,98,153,
69,Chevrolet,Cavalier,USA,Front,14610.00,13697.00,2.2,4,140,26,37,2617,104,183,
70,Chevrolet,Cavalier,USA,Front,14810.00,13884.00,2.2,4,140,26,37,2676,104,183,
71,Chevrolet,Cavalier,USA,Front,16385.00,15357.00,2.2,4,140,26,37,2617,104,183,
72,Chevrolet,Impala,USA,Front,21900.00,20095.00,3.4,6,180,21,32,3465,111,200,750
73,Chevrolet,Impala,USA,Front,25000.00,22931.00,3.8,6,200,20,30,3476,111,200,750
74,Chevrolet,Impala,USA,Front,27995.00,25672.00,3.8,6,240,18,28,3606,111,200,750
75,Chevrolet,Malibu,USA,Front,18995.00,17434.00,2.2,4,145,24,34,3174,106,188,39376
76,Chevrolet,Malibu,USA,Front,20370.00,18639.00,3.5,6,200,22,30,3297,106,188,39376
77,Chevrolet,Malibu,USA,Front,23495.00,21551.00,3.5,6,200,23,32,3315,106,188,39376
78,Chevrolet,Malibu,USA,Front,22225.00,20394.00,3.5,6,200,22,30,3458,112,188,39376
79,Chevrolet,Monte,USA,Front,21825.00,20026.00,3.4,6,180,21,32,3340,111,198,
80,Chevrolet,Monte,USA,Front,24225.00,22222.00,3.8,6,200,18,28,3434,111,198,
81,Chevrolet,Astro,USA,All,26395.00,23954.00,4.3,6,190,14,17,4605,111,190,
82,Chevrolet,Venture,USA,Front,27020.00,24518.00,3.4,6,185,19,26,3699,112,187,
83,Chevrolet,Corvette,USA,Rear,44535.00,39068.00,5.7,8,350,18,25,3246,105,180,33042
84,Chevrolet,Corvette,USA,Rear,51535.00,45193.00,5.7,8,350,18,25,3248,105,180,33042
85,Chevrolet,Avalanche,USA,All,36100.00,31689.00,5.3,8,295,14,18,5678,130,222,
86,Chevrolet,Colorado,USA,All,18760.00,17070.00,2.8,4,175,18,23,3623,111,192,73008
87,Chevrolet,Silverado,USA,Rear,20310.00,18480.00,4.3,6,200,15,21,4142,119,206,529765
88,Chevrolet,Silverado,USA,All,40340.00,35399.00,6,8,300,13,17,4804,144,238,529765
89,Chevrolet,SSR,USA,Rear,41995.00,39306.00,5.3,8,300,16,19,4760,116,191,
485,Chevrolet,Blazer,,,,,,,,,,,,,70323
486,Chevrolet,Bolt,,,,,,,,,,,,,24827
487,Chevrolet,Camaro,,,,,,,,,,,,,21893
488,Chevrolet,Equinox,,,,,,,,,,,,,165325
489,Chevrolet,Express,,,,,,,,,,,,,44357
490,Chevrolet,Sonic,,,,,,,,,,,,,1581
491,Chevrolet,Spark,,,,,,,,,,,,,24460
492,Chevrolet,Traverse,,,,,,,,,,,,,116251
493,Chevrolet,Trax,,,,,,,,,,,,,42590
90,Chrysler,PT,USA,Front,17985.00,16919.00,2.4,4,150,22,29,3101,103,169,
91,Chrysler,PT,USA,Front,22000.00,20573.00,2.4,4,150,22,29,3105,103,169,
92,Chrysler,PT,USA,Front,25955.00,24172.00,2.4,4,220,21,27,3217,103,169,
93,Chrysler,Sebring,USA,Front,19090.00,17805.00,2.4,4,150,22,30,3173,108,191,
94,Chrysler,Sebring,USA,Front,21840.00,20284.00,2.7,6,200,21,28,3222,108,191,
95,Chrysler,Sebring,USA,Front,25215.00,23451.00,2.4,4,150,22,30,3357,106,194,
96,Chrysler,Sebring,USA,Front,30950.00,28613.00,2.7,6,200,21,28,3448,106,194,
97,Chrysler,300M,USA,Front,29865.00,27797.00,3.5,6,250,18,27,3581,113,198,
98,Chrysler,300M,USA,Front,33295.00,30884.00,3.5,6,255,18,27,3650,113,198,
99,Chrysler,Concorde,USA,Front,24130.00,22452.00,2.7,6,200,21,29,3479,113,208,
100,Chrysler,Concorde,USA,Front,26860.00,24909.00,3.5,6,232,19,27,3548,113,208,
101,Chrysler,Town,USA,Front,27490.00,25371.00,3.3,6,180,19,26,4068,119,201,23355
102,Chrysler,Town,USA,Front,38380.00,35063.00,3.8,6,215,18,25,4331,119,201,23355
103,Chrysler,Crossfire,USA,Rear,34495.00,32033.00,3.2,6,215,17,25,3060,95,160,
104,Chrysler,Pacifica,USA,Rear,31230.00,28725.00,3.5,6,250,17,23,4675,116,199,74970
494,Chrysler,200,,,,,,,,,,,,,15
495,Chrysler,300,,,,,,,,,,,,,16662
105,Dodge,Durango,USA,All,32235.00,29472.00,4.7,8,230,15,21,4987,119,201,65936
106,Dodge,Neon,USA,Front,13670.00,12849.00,2,4,132,29,36,2581,105,174,
107,Dodge,Neon,USA,Front,15040.00,14086.00,2,4,132,29,36,2626,105,174,
108,Dodge,Intrepid,USA,Front,22035.00,20502.00,2.7,6,200,21,29,3469,113,204,
109,Dodge,Intrepid,USA,Front,24885.00,23058.00,3.5,6,232,18,27,3487,113,204,
110,Dodge,Stratus,USA,Front,18820.00,17512.00,2.4,4,150,21,28,3182,108,191,
111,Dodge,Stratus,USA,Front,20220.00,18821.00,2.4,4,150,21,28,3175,108,191,
112,Dodge,Caravan,USA,Front,21795.00,20508.00,2.4,4,150,20,26,3862,113,189,
113,Dodge,Grand,USA,All,32660.00,29812.00,3.8,6,215,18,25,4440,119,201,3037
114,Dodge,Viper,USA,Rear,81795.00,74451.00,8.3,10,500,12,20,3410,99,176,6
115,Dodge,Dakota,USA,Rear,17630.00,16264.00,3.7,6,210,16,22,3714,112,193,
116,Dodge,Dakota,USA,Rear,20300.00,18670.00,3.7,6,210,16,22,3829,131,219,
117,Dodge,Ram,USA,Rear,20215.00,18076.00,3.7,6,215,16,21,4542,121,208,
496,Dodge,Challenger,,,,,,,,,,,,,54315
