,Make,Model,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,Sum
0,Acura,MDX,Asia,All,"$36,945.00","$33,337.00",3.5,6.0,265.0,17.0,23.0,4451.0,106.0,189.0,60057.0
6,Acura,NSX,Asia,Rear,"$89,765.00","$79,978.00",3.2,6.0,290.0,17.0,24.0,3153.0,100.0,174.0,124.0
7,Audi,A4,Europe,Front,"$25,940.00","$23,508.00",1.8,4.0,170.0,22.0,31.0,3252.0,104.0,179.0,16263.0
8,Audi,A4,Europe,Front,"$31,840.00","$28,846.00",3.0,6.0,220.0,20.0,28.0,3462.0,104.0,179.0,16263.0
9,Audi,A4,Europe,All,"$33,430.00","$30,366.00",3.0,6.0,220.0,17.0,26.0,3583.0,104.0,179.0,16263.0
10,Audi,A4,Europe,All,"$34,480.00","$31,388.00",3.0,6.0,220.0,18.0,25.0,3627.0,104.0,179.0,16263.0
11,Audi,A4,Europe,Front,"$42,490.00","$38,325.00",3.0,6.0,220.0,20.0,27.0,3814.0,105.0,180.0,16263.0
12,Audi,A4,Europe,All,"$44,240.00","$40,075.00",3.0,6.0,220.0,18.0,25.0,4013.0,105.0,180.0,16263.0
14,Audi,A6,Europe,Front,"$36,640.00","$33,129.00",3.0,6.0,220.0,20.0,27.0,3561.0,109.0,192.0,9543.0
15,Audi,A6,Europe,All,"$39,640.00","$35,992.00",3.0,6.0,220.0,18.0,25.0,3880.0,109.0,192.0,9543.0
16,Audi,A6,Europe,All,"$42,840.00","$38,840.00",2.7,6.0,250.0,18.0,25.0,3836.0,109.0,192.0,9543.0
17,Audi,A6,Europe,All,"$49,690.00","$44,936.00",4.2,8.0,300.0,17.0,24.0,4024.0,109.0,193.0,9543.0
18,Audi,A6,Europe,All,"$40,840.00","$37,060.00",3.0,6.0,220.0,18.0,25.0,4035.0,109.0,192.0,9543.0
19,Audi,A8,Europe,All,"$69,190.00","$64,740.00",4.2,8.0,330.0,17.0,24.0,4399.0,121.0,204.0,2068.0
23,Audi,TT,Europe,Front,"$35,940.00","$32,512.00",1.8,4.0,180.0,20.0,28.0,3131.0,95.0,159.0,987.0
24,Audi,TT,Europe,All,"$37,390.00","$33,891.00",1.8,4.0,225.0,20.0,28.0,2921.0,96.0,159.0,987.0
25,Audi,TT,Europe,All,"$40,590.00","$36,739.00",3.2,6.0,250.0,21.0,29.0,3351.0,96.0,159.0,987.0
26,BMW,X3,Europe,All,"$37,000.00","$33,873.00",3.0,6.0,225.0,16.0,23.0,4023.0,110.0,180.0,75858.0
27,BMW,X5,Europe,All,"$52,195.00","$47,720.00",4.4,8.0,325.0,16.0,22.0,4824.0,111.0,184.0,60724.0
44,BMW,Z4,Europe,Rear,"$33,895.00","$31,065.00",2.5,6.0,184.0,20.0,28.0,2932.0,98.0,161.0,2412.0
45,BMW,Z4,Europe,Rear,"$41,045.00","$37,575.00",3.0,6.0,225.0,21.0,29.0,2998.0,98.0,161.0,2412.0
51,Buick,Regal,USA,Front,"$24,895.00","$22,835.00",3.8,6.0,200.0,20.0,30.0,3461.0,109.0,196.0,19.0
52,Buick,Regal,USA,Front,"$28,345.00","$26,047.00",3.8,6.0,240.0,18.0,28.0,3536.0,109.0,196.0,19.0
