Make,Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sum
Acura,ILX,914,819,"1,253","1,312","1,842","2,093","1,957","1,018",422,209,700,"1,361",13900
Acura,MDX,"2,827","5,379","8,782","7,685","7,041","5,077","4,290","4,632","2,101","3,157","3,551","5,535",60057
Acura,NSX,6,4,7,12,15,16,7,31,20,5,-,1,124
Acura,RDX,"3,386","3,520","4,706","4,576","5,864","5,638","5,789","5,842","4,915","5,313","3,976","3,488",57013
Acura,RLX,59,43,42,26,16,12,7,1,3,3,-,2,214
Acura,TLX,"1,312","1,788","3,041","2,848","3,375","3,048","2,800","2,768","1,952","1,368","1,147",653,26100
Alfa,Romeo,8,8,9,15,14,15,3,3,3,-,-,-,78
Alfa,Romeo,661,661,743,749,720,749,618,595,618,507,507,507,7635
Alfa,Romeo,818,818,921,931,895,931,908,874,908,845,845,845,10539
Audi,A3,425,425,478,1,-,-,25,24,25,328,328,328,2387
Audi,A4,"1,623","1,623","1,826","2,408","2,315","2,408",784,755,784,579,579,579,16263
Audi,A5,"1,362","1,362","1,533","2,285","2,197","2,285","1,071","1,031","1,071",977,977,977,17128
Audi,A6,996,996,"1,121","1,445","1,389","1,445",406,391,406,316,316,316,9543
Audi,A7,316,316,356,446,429,446,155,149,155,104,104,104,3080
Audi,A8,141,141,159,227,218,227,219,211,219,102,102,102,2068
Audi,e-Tron,-,-,-,-,-,-,156,150,156,255,255,255,1227
Audi,e-Tron,-,-,-,-,-,-,41,39,41,128,128,128,505
Audi,eTron,"1,384","1,384","1,557",556,535,556,110,106,110,660,660,660,8278
Audi,Q3,"2,744","2,744","3,087","3,333","3,205","3,333","2,814","2,710","2,814","2,560","2,560","2,560",34464
Audi,Q4,-,-,-,-,-,-,-,-,-,15,15,15,45
Audi,Q4,-,-,-,-,-,-,-,-,-,6,6,6,18
Audi,Q5,"4,714","4,714","5,303","6,360","6,115","6,360","5,519","5,315","5,519","3,460","3,460","3,460",60299
Audi,Q7,"2,468","2,468","2,777","3,374","3,244","3,374","1,565","1,507","1,565","1,007","1,007","1,007",25363
