,Make,Model,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,Sum
0,Acura,MDX,Asia,All,"$36,945.00","$33,337.00",3.5,6,265,17,23,4451,106,189,60057
1,Acura,RSX,Asia,Front,"$23,820.00","$21,761.00",2,4,200,24,31,2778,101,172,
2,Acura,TSX,Asia,Front,"$26,990.00","$24,647.00",2.4,4,200,22,29,3230,105,183,
3,Acura,TL,Asia,Front,"$33,195.00","$30,299.00",3.2,6,270,20,28,3575,108,186,26100
4,Acura,RLX,Asia,Front,"$43,755.00","$39,014.00",3.5,6,225,18,24,3880,115,197,214
5,Acura,RDX,Asia,Front,"$46,100.00","$41,100.00",3.5,6,225,18,24,3893,115,197,57013
6,Acura,NSX,Asia,Rear,"$89,765.00","$79,978.00",3.2,6,290,17,24,3153,100,174,124
440,Acura,ILX,,,,,,,,,,,,,13900
7,Audi,A4,Europe,Front,"$25,940.00","$23,508.00",1.8,4,170,22,31,3252,104,179,16263
8,Audi,A4,Europe,Front,"$31,840.00","$28,846.00",3,6,220,20,28,3462,104,179,16263
9,Audi,A4,Europe,All,"$33,430.00","$30,366.00",3,6,220,17,26,3583,104,179,16263
10,Audi,A4,Europe,All,"$34,480.00","$31,388.00",3,6,220,18,25,3627,104,179,16263
11,Audi,A4,Europe,Front,"$42,490.00","$38,325.00",3,6,220,20,27,3814,105,180,16263
12,Audi,A4,Europe,All,"$44,240.00","$40,075.00",3,6,220,18,25,4013,105,180,16263
13,Audi,A41.8T,Europe,Front,"$35,940.00","$32,506.00",1.8,4,170,23,30,3638,105,180,
14,Audi,A6,Europe,Front,"$36,640.00","$33,129.00",3,6,220,20,27,3561,109,192,9543
15,Audi,A6,Europe,All,"$39,640.00","$35,992.00",3,6,220,18,25,3880,109,192,9543
16,Audi,A6,Europe,All,"$42,840.00","$38,840.00",2.7,6,250,18,25,3836,109,192,9543
17,Audi,A6,Europe,All,"$49,690.00","$44,936.00",4.2,8,300,17,24,4024,109,193,9543
18,Audi,A6,Europe,All,"$40,840.00","$37,060.00",3,6,220,18,25,4035,109,192,9543
19,Audi,A8,Europe,All,"$69,190.00","$64,740.00",4.2,8,330,17,24,4399,121,204,2068
20,Audi,S4,Europe,All,"$48,040.00","$43,556.00",4.2,8,340,14,20,3825,104,179,
21,Audi,S4,Europe,All,"$49,090.00","$44,446.00",4.2,8,340,15,21,3936,104,179,
22,Audi,RS,Europe,Front,"$84,600.00","$76,417.00",4.2,8,450,15,22,4024,109,191,
23,Audi,TT,Europe,Front,"$35,940.00","$32,512.00",1.8,4,180,20,28,3131,95,159,987
24,Audi,TT,Europe,All,"$37,390.00","$33,891.00",1.8,4,225,20,28,2921,96,159,987
25,Audi,TT,Europe,All,"$40,590.00","$36,739.00",3.2,6,250,21,29,3351,96,159,987
447,Audi,A3,,,,,,,,,,,,,2387
448,Audi,A5,,,,,,,,,,,,,17128
449,Audi,A7,,,,,,,,,,,,,3080
450,Audi,e-Tron,,,,,,,,,,,,,1227
451,Audi,e-Tron,,,,,,,,,,,,,505
452,Audi,eTron,,,,,,,,,,,,,8278
453,Audi,Q3,,,,,,,,,,,,,34464
454,Audi,Q4,,,,,,,,,,,,,45
455,Audi,Q4,,,,,,,,,,,,,18
456,Audi,Q5,,,,,,,,,,,,,60299
457,Audi,Q7,,,,,,,,,,,,,25363
458,Audi,Q8,,,,,,,,,,,,,12539
459,Audi,R8,,,,,,,,,,,,,648
26,BMW,X3,Europe,All,"$37,000.00","$33,873.00",3,6,225,16,23,4023,110,180,75858
27,BMW,X5,Europe,All,"$52,195.00","$47,720.00",4.4,8,325,16,22,4824,111,184,60724
28,BMW,325i,Europe,Rear,"$28,495.00","$26,155.00",2.5,6,184,20,29,3219,107,176,5495
29,BMW,325Ci,Europe,Rear,"$30,795.00","$28,245.00",2.5,6,184,20,29,3197,107,177,5495
30,BMW,325Ci,Europe,Rear,"$37,995.00","$34,800.00",2.5,6,184,19,27,3560,107,177,5495
31,BMW,325xi,Europe,All,"$30,245.00","$27,745.00",2.5,6,184,19,27,3461,107,176,5495
32,BMW,325xi,Europe,All,"$32,845.00","$30,110.00",2.5,6,184,19,26,3594,107,176,5495
33,BMW,330i,Europe,Rear,"$35,495.00","$32,525.00",3,6,225,20,30,3285,107,176,5495
34,BMW,330Ci,Europe,Rear,"$36,995.00","$33,890.00",3,6,225,20,30,3285,107,176,5495
35,BMW,330Ci,Europe,Rear,"$44,295.00","$40,530.00",3,6,225,19,28,3616,107,177,5495
36,BMW,330xi,Europe,All,"$37,245.00","$34,115.00",3,6,225,20,29,3483,107,176,5495
37,BMW,525i,Europe,Rear,"$39,995.00","$36,620.00",2.5,6,184,19,28,3428,114,191,8174
38,BMW,530i,Europe,Rear,"$44,995.00","$41,170.00",3,6,225,20,30,3472,114,191,8174
39,BMW,545iA,Europe,Rear,"$54,995.00","$50,270.00",4.4,8,325,18,26,3814,114,191,8174
40,BMW,745i,Europe,Rear,"$69,195.00","$63,190.00",4.4,8,325,18,26,4376,118,198,
41,BMW,745Li,Europe,Rear,"$73,195.00","$66,830.00",4.4,8,325,18,26,4464,123,204,
42,BMW,M3,Europe,Rear,"$48,195.00","$44,170.00",3.2,6,333,16,24,3415,108,177,
43,BMW,M3,Europe,Rear,"$56,595.00","$51,815.00",3.2,6,333,16,23,3781,108,177,
44,BMW,Z4,Europe,Rear,"$33,895.00","$31,065.00",2.5,6,184,20,28,2932,98,161,2412
45,BMW,Z4,Europe,Rear,"$41,045.00","$37,575.00",3,6,225,21,29,2998,98,161,2412
460,BMW,2-Series,,,,,,,,,,,,,15684
462,BMW,4-Series,,,,,,,,,,,,,22938
464,BMW,6-Series,,,,,,,,,,,,,56
465,BMW,7-Series,,,,,,,,,,,,,7705
466,BMW,8-Series,,,,,,,,,,,,,7763
467,BMW,i3,,,,,,,,,,,,,1476
468,BMW,i8,,,,,,,,,,,,,21
469,BMW,X1,,,,,,,,,,,,,18255
470,BMW,X2,,,,,,,,,,,,,6563
471,BMW,X4,,,,,,,,,,,,,10622
472,BMW,X6,,,,,,,,,,,,,9590
473,BMW,X7,,,,,,,,,,,,,23046
46,Buick,Rainier,USA,All,"$37,895.00","$34,357.00",4.2,6,275,15,21,4600,113,193,
47,Buick,Rendezvous,USA,Front,"$26,545.00","$24,085.00",3.4,6,185,19,26,4024,112,187,
48,Buick,Century,USA,Front,"$22,180.00","$20,351.00",3.1,6,175,20,30,3353,109,195,
49,Buick,LeSabre,USA,Front,"$26,470.00","$24,282.00",3.8,6,205,20,29,3567,112,200,
50,Buick,LeSabre,USA,Front,"$32,245.00","$29,566.00",3.8,6,205,20,29,3591,112,200,
51,Buick,Regal,USA,Front,"$24,895.00","$22,835.00",3.8,6,200,20,30,3461,109,196,19
52,Buick,Regal,USA,Front,"$28,345.00","$26,047.00",3.8,6,240,18,28,3536,109,196,19
53,Buick,Park,USA,Front,"$35,545.00","$32,244.00",3.8,6,205,20,29,3778,114,207,
54,Buick,Park,USA,Front,"$40,720.00","$36,927.00",3.8,6,240,18,28,3909,114,207,
474,Buick,Enclave,,,,,,,,,,,,,42340
475,Buick,Encore,,,,,,,,,,,,,20438
476,Buick,Encore,,,,,,,,,,,,,72401
477,Buick,Envision,,,,,,,,,,,,,47173
478,Buick,LaCrosse,,,,,,,,,,,,,9
55,Cadillac,Escalade,USA,Front,"$52,795.00","$48,377.00",5.3,8,295,14,18,5367,116,199,40504
56,Cadillac,Escalade,USA,All,"$52,975.00","$48,541.00",6,8,345,13,17,5879,130,221,40504
57,Cadillac,SRX,USA,Front,"$46,995.00","$43,523.00",4.6,8,320,16,21,4302,116,195,
58,Cadillac,CTS,USA,Rear,"$30,835.00","$28,575.00",3.6,6,255,18,25,3694,113,190,68
59,Cadillac,Deville,USA,Front,"$45,445.00","$41,650.00",4.6,8,275,18,26,3984,115,207,
60,Cadillac,Deville,USA,Front,"$50,595.00","$46,362.00",4.6,8,300,18,26,4044,115,207,
61,Cadillac,Seville,USA,Front,"$47,955.00","$43,841.00",4.6,8,275,18,26,3992,112,201,
62,Cadillac,XLR,USA,Rear,"$76,200.00","$70,546.00",4.6,8,320,17,25,3647,106,178,
479,Cadillac,CT4,,,,,,,,,,,,,7254
480,Cadillac,CT5,,,,,,,,,,,,,9448
481,Cadillac,CT6,,,,,,,,,,,,,103
482,Cadillac,XT4,,,,,,,,,,,,,11576
483,Cadillac,XT5,,,,,,,,,,,,,28378
484,Cadillac,XT6,,,,,,,,,,,,,20663
63,Chevrolet,Suburban,USA,Front,"$42,735.00","$37,422.00",5.3,8,295,14,18,4947,130,219,85159
64,Chevrolet,Tahoe,USA,All,"$41,465.00","$36,287.00",5.3,8,295,14,18,5050,116,197,106019
65,Chevrolet,TrailBlazer,USA,Front,"$30,295.00","$27,479.00",4.2,6,275,16,21,4425,113,192,90163
66,Chevrolet,Tracker,USA,Front,"$20,255.00","$19,108.00",2.5,6,165,19,22,2866,98,163,
67,Chevrolet,Aveo,USA,Front,"$11,690.00","$10,965.00",1.6,4,103,28,34,2370,98,167,
68,Chevrolet,Aveo,USA,Front,"$12,585.00","$11,802.00",1.6,4,103,28,34,2348,98,153,
69,Chevrolet,Cavalier,USA,Front,"$14,610.00","$13,697.00",2.2,4,140,26,37,2617,104,183,
70,Chevrolet,Cavalier,USA,Front,"$14,810.00","$13,884.00",2.2,4,140,26,37,2676,104,183,
71,Chevrolet,Cavalier,USA,Front,"$16,385.00","$15,357.00",2.2,4,140,26,37,2617,104,183,
72,Chevrolet,Impala,USA,Front,"$21,900.00","$20,095.00",3.4,6,180,21,32,3465,111,200,750
73,Chevrolet,Impala,USA,Front,"$25,000.00","$22,931.00",3.8,6,200,20,30,3476,111,200,750
74,Chevrolet,Impala,USA,Front,"$27,995.00","$25,672.00",3.8,6,240,18,28,3606,111,200,750
75,Chevrolet,Malibu,USA,Front,"$18,995.00","$17,434.00",2.2,4,145,24,34,3174,106,188,39376
76,Chevrolet,Malibu,USA,Front,"$20,370.00","$18,639.00",3.5,6,200,22,30,3297,106,188,39376
77,Chevrolet,Malibu,USA,Front,"$23,495.00","$21,551.00",3.5,6,200,23,32,3315,106,188,39376
78,Chevrolet,Malibu,USA,Front,"$22,225.00","$20,394.00",3.5,6,200,22,30,3458,112,188,39376
79,Chevrolet,Monte,USA,Front,"$21,825.00","$20,026.00",3.4,6,180,21,32,3340,111,198,
80,Chevrolet,Monte,USA,Front,"$24,225.00","$22,222.00",3.8,6,200,18,28,3434,111,198,
81,Chevrolet,Astro,USA,All,"$26,395.00","$23,954.00",4.3,6,190,14,17,4605,111,190,
82,Chevrolet,Venture,USA,Front,"$27,020.00","$24,518.00",3.4,6,185,19,26,3699,112,187,
83,Chevrolet,Corvette,USA,Rear,"$44,535.00","$39,068.00",5.7,8,350,18,25,3246,105,180,33042
84,Chevrolet,Corvette,USA,Rear,"$51,535.00","$45,193.00",5.7,8,350,18,25,3248,105,180,33042
85,Chevrolet,Avalanche,USA,All,"$36,100.00","$31,689.00",5.3,8,295,14,18,5678,130,222,
86,Chevrolet,Colorado,USA,All,"$18,760.00","$17,070.00",2.8,4,175,18,23,3623,111,192,73008
87,Chevrolet,Silverado,USA,Rear,"$20,310.00","$18,480.00",4.3,6,200,15,21,4142,119,206,529765
88,Chevrolet,Silverado,USA,All,"$40,340.00","$35,399.00",6,8,300,13,17,4804,144,238,529765
89,Chevrolet,SSR,USA,Rear,"$41,995.00","$39,306.00",5.3,8,300,16,19,4760,116,191,
485,Chevrolet,Blazer,,,,,,,,,,,,,70323
486,Chevrolet,Bolt,,,,,,,,,,,,,24827
487,Chevrolet,Camaro,,,,,,,,,,,,,21893
488,Chevrolet,Equinox,,,,,,,,,,,,,165325
489,Chevrolet,Express,,,,,,,,,,,,,44357
490,Chevrolet,Sonic,,,,,,,,,,,,,1581
491,Chevrolet,Spark,,,,,,,,,,,,,24460
492,Chevrolet,Traverse,,,,,,,,,,,,,116251
493,Chevrolet,Trax,,,,,,,,,,,,,42590
90,Chrysler,PT,USA,Front,"$17,985.00","$16,919.00",2.4,4,150,22,29,3101,103,169,
91,Chrysler,PT,USA,Front,"$22,000.00","$20,573.00",2.4,4,150,22,29,3105,103,169,
92,Chrysler,PT,USA,Front,"$25,955.00","$24,172.00",2.4,4,220,21,27,3217,103,169,
93,Chrysler,Sebring,USA,Front,"$19,090.00","$17,805.00",2.4,4,150,22,30,3173,108,191,
94,Chrysler,Sebring,USA,Front,"$21,840.00","$20,284.00",2.7,6,200,21,28,3222,108,191,
95,Chrysler,Sebring,USA,Front,"$25,215.00","$23,451.00",2.4,4,150,22,30,3357,106,194,
96,Chrysler,Sebring,USA,Front,"$30,950.00","$28,613.00",2.7,6,200,21,28,3448,106,194,
97,Chrysler,300M,USA,Front,"$29,865.00","$27,797.00",3.5,6,250,18,27,3581,113,198,
98,Chrysler,300M,USA,Front,"$33,295.00","$30,884.00",3.5,6,255,18,27,3650,113,198,
99,Chrysler,Concorde,USA,Front,"$24,130.00","$22,452.00",2.7,6,200,21,29,3479,113,208,
100,Chrysler,Concorde,USA,Front,"$26,860.00","$24,909.00",3.5,6,232,19,27,3548,113,208,
101,Chrysler,Town,USA,Front,"$27,490.00","$25,371.00",3.3,6,180,19,26,4068,119,201,23355
102,Chrysler,Town,USA,Front,"$38,380.00","$35,063.00",3.8,6,215,18,25,4331,119,201,23355
103,Chrysler,Crossfire,USA,Rear,"$34,495.00","$32,033.00",3.2,6,215,17,25,3060,95,160,
104,Chrysler,Pacifica,USA,Rear,"$31,230.00","$28,725.00",3.5,6,250,17,23,4675,116,199,74970
494,Chrysler,200,,,,,,,,,,,,,15
495,Chrysler,300,,,,,,,,,,,,,16662
105,Dodge,Durango,USA,All,"$32,235.00","$29,472.00",4.7,8,230,15,21,4987,119,201,65936
106,Dodge,Neon,USA,Front,"$13,670.00","$12,849.00",2,4,132,29,36,2581,105,174,
